,S&P500,Gold,Oil,HYBond,Comdts.,Tech,Energy,Healthcare,Discretionary,Staples,BioTech,RealEstate,Materials,Bitcoin,
S&P500,1.0,-0.1262487708292169,0.3684107502742597,0.570936137329132,0.33159090613884995,0.7799146553694395,0.2861779114707999,0.6186731882189517,0.8107177731844663,0.8046318066121584,0.1910583915827841,0.14506809256535302,0.32495172167198005,0.029072678661654073,
Gold,-0.1262487708292169,1.0,0.010000698765886041,0.11749323754157746,0.02428916405666119,-0.07159453201218167,-0.08814730272429729,-0.020427351606108726,-0.19638825687886566,-0.22861487429681757,-0.07779275409714748,0.3566280290613158,-0.07849552284444733,0.22591382588193437,
Oil,0.3684107502742597,0.010000698765886041,1.0,0.5150143269705054,0.9567453732662231,0.11687631738840487,0.3559904926183679,0.18501681944852738,0.18898567722085952,0.3026457549999621,-0.17286515737743247,0.08016664908514158,-0.017554887509626443,-0.09899815424501422,
HYBond,0.570936137329132,0.11749323754157746,0.5150143269705054,1.0000000000000002,0.4783419298082881,0.5041959568334509,0.3096199156900104,0.21712702239734913,0.4003420628655465,0.3518067913581087,-0.13370123865445457,0.2305862018571398,0.2230370329358349,0.048978113591200294,
Comdts.,0.33159090613884995,0.02428916405666119,0.9567453732662231,0.4783419298082881,1.0,0.12631306886797444,0.33738087731040384,0.16883169921841468,0.17641343849640712,0.2329211024909683,-0.232545683535096,0.08062830645932129,-0.028969704058059556,-0.058137325433154266,
Tech,0.7799146553694395,-0.07159453201218167,0.11687631738840487,0.5041959568334509,0.12631306886797444,0.9999999999999999,0.058730028911540534,0.437772290081037,0.7324520732484006,0.46138264616258357,0.11487963078317026,0.15661054780702827,0.21839686764506092,0.004878467910765038,
Energy,0.2861779114707999,-0.08814730272429729,0.3559904926183679,0.3096199156900104,0.33738087731040384,0.058730028911540534,1.0,0.1649006725057864,0.10340531321057385,0.2832313046952535,0.05849101433118279,0.004039290213185692,0.572944655294449,0.01626538380611175,
Healthcare,0.6186731882189517,-0.020427351606108726,0.18501681944852738,0.21712702239734913,0.16883169921841468,0.437772290081037,0.1649006725057864,0.9999999999999999,0.3510172693727317,0.38663814330858315,0.49409013471294727,-0.003285835829159039,0.16889861793291866,0.07766081735640634,
Discretionary,0.8107177731844663,-0.19638825687886566,0.18898567722085952,0.4003420628655465,0.17641343849640712,0.7324520732484006,0.10340531321057385,0.3510172693727317,1.0,0.6569152352606179,0.1130411649902904,0.14584251595023362,0.22073934527508132,-0.06421225398140082,
Staples,0.8046318066121584,-0.22861487429681757,0.3026457549999621,0.3518067913581087,0.2329211024909683,0.46138264616258357,0.2832313046952535,0.38663814330858315,0.6569152352606179,0.9999999999999998,0.19068870241982017,0.06253425022747461,0.35884172297659955,0.0078068921150840275,
BioTech,0.1910583915827841,-0.07779275409714748,-0.17286515737743247,-0.13370123865445457,-0.232545683535096,0.11487963078317026,0.05849101433118279,0.49409013471294727,0.1130411649902904,0.19068870241982017,0.9999999999999999,-0.023121942511463323,0.38672800917183675,0.0934151547771853,
RealEstate,0.14506809256535302,0.3566280290613158,0.08016664908514158,0.2305862018571398,0.08062830645932129,0.15661054780702827,0.004039290213185692,-0.003285835829159039,0.14584251595023362,0.06253425022747461,-0.023121942511463323,1.0,0.1832078163452798,0.14819152859281282,
Materials,0.32495172167198005,-0.07849552284444733,-0.017554887509626443,0.2230370329358349,-0.028969704058059556,0.21839686764506092,0.572944655294449,0.16889861793291866,0.22073934527508132,0.35884172297659955,0.38672800917183675,0.1832078163452798,1.0,0.11473769406086318,
Bitcoin,0.029072678661654073,0.22591382588193437,-0.09899815424501422,0.048978113591200294,-0.058137325433154266,0.004878467910765038,0.01626538380611175,0.07766081735640634,-0.06421225398140082,0.0078068921150840275,0.0934151547771853,0.14819152859281282,0.11473769406086318,1.0,


,S&P500,Gold,Oil,HYBond,Comdts.,Tech,Energy,Healthcare,Discretionary,Staples,BioTech,RealEstate,Materials,Bitcoin,
Allocation,0.0,0.24833847750024718,0.18586206143377043,0.0,0.10551105604378341,0.0,0.1053840971743355,0.07123181414631669,0.0,0.0,0.04685927069233673,0.23731945002571467,0.0,0.0,
VaR(95%),-0.01107828655834553,-0.01532175689479065,-0.05956678700361007,-0.0055248618784530246,-0.026109660574412552,-0.012756168966959414,-0.02267106347897785,-0.017316607581129073,-0.014970059880239583,-0.01774242887733246,-0.02727118930806971,-0.021523579201934706,-0.018209123333959187,-0.05303908312407446,
Volatility,0.006417423751680862,0.011053312779357066,0.03254500003693701,0.00404932840852939,0.015420399619190036,0.007391752400079611,0.013872515108377963,0.009436714133373873,0.007929977560325721,0.008629119480658304,0.01932946457884847,0.014551833469552047,0.010068989484370346,0.03534037152463723,
Avg.Return,-9.608903919556284E-4,7.252566468584716E-4,0.0012784727523088872,-2.589946007589987E-4,8.355788961696493E-5,-0.001810017105782987,7.442814288947422E-5,-8.520032301481432E-5,-9.729897597788951E-4,-0.001340477082529611,-3.730703288051369E-4,8.872304900467774E-4,-6.887063595099164E-4,-0.004719839730308358,
